year,price,power_kw,mileage_in_km,brand
2011,15500,105.0,147200.0,2
2011,10000,125.0,210000.0,2
2011,9950,118.0,185927.0,2
2011,13899,132.0,110800.0,2
2011,13660,132.0,123160.0,2
2011,16000,220.0,165000.0,2
2011,12990,132.0,144000.0,2
2011,15900,176.0,113000.0,2
2011,9999,88.0,112000.0,2
2011,6985,92.0,182000.0,2
2011,10800,220.0,249000.0,2
2011,9800,103.0,138000.0,2
2011,10500,92.0,124800.0,2
2011,7000,105.0,178000.0,2
2011,15500,176.0,280000.0,2
2011,16640,150.0,166000.0,2
2011,10480,150.0,90000.0,2
2011,7700,100.0,189000.0,2
2011,14000,92.0,142000.0,2
2011,23950,150.0,190000.0,2
2011,10950,200.0,98670.0,2
2011,21990,77.0,97000.0,2
2011,17000,125.0,109856.0,2
2011,7790,105.0,279000.0,2
2011,13390,132.0,172000.0,2
2011,12299,92.0,86698.0,2
2011,10850,176.0,224958.0,2
2011,12980,118.0,77226.0,2
2011,16550,130.0,138300.0,2
2011,13500,140.0,180000.0,2
2011,71000,386.0,98000.0,2
2011,11990,77.0,136400.0,2
2011,9500,105.0,195000.0,2
2011,10990,118.0,142300.0,2
2011,22499,260.0,124800.0,2
2011,19099,150.0,177000.0,2
2011,25000,220.0,92000.0,2
2011,17490,125.0,140000.0,2
2011,11800,125.0,185370.0,2
2011,15500,125.0,218000.0,2
2011,26340,250.0,153999.0,2
2011,31950,250.0,94362.0,2
2011,15800,176.0,212000.0,2
2011,19990,180.0,210000.0,2
2011,9990,92.0,151960.0,2
2011,125500,412.0,33600.0,2
2011,6300,66.0,245258.0,2
2011,14000,180.0,217000.0,2
2011,14200,125.0,143000.0,2
2011,12900,103.0,97523.0,2
2011,15000,125.0,107500.0,2
2011,29999,331.0,148000.0,2
2011,22599,180.0,150000.0,2
2011,27990,260.0,60300.0,2
2011,12200,118.0,129000.0,2
2011,20900,195.0,110000.0,2
2011,7599,125.0,289025.0,2
2011,35990,250.0,94980.0,2
2011,13400,140.0,147000.0,2
2011,7890,140.0,322000.0,2
2011,15990,103.0,127100.0,2
2011,15400,176.0,218000.0,2
2011,10399,176.0,236000.0,2
2011,8490,88.0,290000.0,2
2011,16490,132.0,97000.0,2
2011,6490,88.0,212000.0,2
2011,20979,180.0,95701.0,2
2011,5990,77.0,211999.0,2
2011,9800,105.0,208000.0,2
2011,23500,150.0,145000.0,2
2011,39850,250.0,71415.0,2
2011,15000,105.0,142000.0,2
2011,16890,77.0,24387.0,2
2011,8498,77.0,108819.0,2
2011,15000,180.0,273000.0,2
2011,17000,155.0,143018.0,2
2011,19500,220.0,158000.0,2
2011,13900,176.0,236000.0,2
2011,7200,105.0,270000.0,2
2011,10900,118.0,210000.0,2
2011,24999,180.0,109788.0,2
2011,15000,150.0,195000.0,2
2011,6800,77.0,295000.0,2
2011,20500,176.0,157000.0,2
2011,15890,150.0,190000.0,2
2011,13450,150.0,141668.0,2
2011,9300,88.0,205600.0,2
2011,9400,90.0,120000.0,2
2011,7790,92.0,200000.0,2
2011,7500,105.0,360000.0,2
2011,9990,176.0,280000.0,2
2011,13300,180.0,265500.0,2
2011,13000,118.0,119000.0,2
2011,14200,125.0,207000.0,2
2011,10999,77.0,104000.0,2
2011,31999,331.0,185000.0,2
2011,11200,88.0,198000.0,2
2011,9980,150.0,271628.0,2
2011,6999,105.0,169800.0,2
2011,15990,105.0,107000.0,2
2011,5700,77.0,206000.0,2
2011,11950,150.0,378000.0,2
2011,11670,77.0,119000.0,2
2011,13300,176.0,346000.0,2
2011,10800,77.0,159000.0,2
2011,38990,250.0,68380.0,2
2011,12490,118.0,150000.0,2
2011,17000,176.0,212000.0,2
2011,18000,150.0,218000.0,2
2011,10900,105.0,294000.0,2
2011,6990,88.0,133151.0,2
2011,17990,220.0,223000.0,2
2011,10900,118.0,128400.0,2
2011,14990,150.0,179000.0,2
2011,8999,140.0,231000.0,2
2011,5299,92.0,216000.0,2
2011,11800,66.0,287000.0,2
2011,7999,88.0,88600.0,2
2011,10000,132.0,268500.0,2
2011,12500,105.0,140000.0,2
2011,10400,118.0,98000.0,2
2011,8950,77.0,132739.0,2
2011,8990,103.0,149800.0,2
2011,21500,155.0,119610.0,2
2011,10990,105.0,185900.0,2
2011,19995,184.0,273574.0,2
2011,17950,273.0,203556.0,2
2011,7000,176.0,281000.0,2
2011,8950,118.0,195000.0,2
2011,13995,176.0,241000.0,2
2011,11200,92.0,137644.0,2
2011,20900,180.0,248000.0,2
2011,12480,132.0,119000.0,2
2011,21990,180.0,168000.0,2
2011,6980,92.0,183000.0,2
2011,9495,77.0,107600.0,2
2011,18750,195.0,101600.0,2
2011,62000,386.0,88500.0,2
2011,13450,140.0,245900.0,2
2011,7650,63.0,133000.0,2
2011,8750,118.0,142000.0,2
2011,17500,220.0,159000.0,2
2011,9250,221.0,296000.0,2
2011,9990,77.0,119173.0,2
